word,entropy,std,std.log,residual
gamma,4.410986603826778,112.29973285809722,4.721171482917857,32.1964666480264
woven,4.700948997623107,67.48840052136347,4.211955738983642,4.03629234037561
locus,4.839233494480738,53.61258626054132,3.9817838588049375,14.054724450389472
stein,5.593325101356759,42.43643155539338,3.748007228104025,6.852374278228396
aisle,5.770411070999549,40.09635551962808,3.691285445384945,5.527529807692787
ivory,4.603765587028898,64.40433010825812,4.165180868555826,9.921586346978827
ultra,5.131062634554542,45.700357248039694,3.8221061151133613,14.322027250103275
crawl,5.175918504606631,52.783954745540846,3.966207257134025,6.122978434766885
moist,5.363976426878802,50.92497903697828,3.930353550467783,3.478346159902479
stout,5.340923571463078,64.47678014227131,4.166305161192722,9.536401921284153
ounce,5.2803158586741095,52.785988776560544,3.9662457914166453,3.5863594168880866
spill,5.2322589887174376,68.18141620037274,4.22217203798674,10.65301989535699
pasta,4.995381781841642,73.36897842257898,4.295501208989592,9.87585631214668
hatch,5.098071842267368,63.51798116449404,4.151323033758959,2.6650610844712546
optic,4.655453913972253,59.74772300297647,4.090131081348669,13.079041099073294
roast,5.886273677567893,37.67139893235531,3.6289011575250334,5.688618718774769
ionic,4.656613252073494,73.63205126719478,4.2990804101151365,0.8386703829274609
proxy,4.528701464110049,84.18109134687478,4.432970327702136,7.640477596234916
overt,4.945562332232212,51.12843237399512,3.934340749009045,13.675561781774284
syrup,4.842421769977354,65.18300501404626,4.1771987756613,2.397150846923253
assay,4.695740442798134,101.91490194431428,4.624138170403202,30.24196838257278
greed,5.368231220879245,77.97787505509882,4.356425133312672,23.67321339275884
niche,4.890472322309274,57.64924706471787,4.054377186173888,8.627116047771906
